hours_studied,sleep_hours,class_attendance,grade
4.43,7.45,3,11.5
2.03,7.03,6,11.0
8.91,4.79,5,11.5
6.36,5.49,5,15.0
8.57,7.01,4,14.5
5.96,7.61,5,13.0
4.82,3.69,2,4.5
8.83,4.98,6,13.5
0.17,6.71,4,6.5
9.4,5.78,4,14.0
1.75,8.18,4,10.0
0.81,6.01,5,10.0
2.67,7.82,6,12.5
6.87,5.58,4,12.0
6.4,5.63,5,15.0
8.81,8.73,5,15.0
1.06,6.23,4,7.5
1.65,7.52,4,7.0
0.52,9.34,3,5.0
9.09,5.69,2,10.0
4.97,6.11,6,14.0
3.1,6.93,5,12.0
1.67,7.54,6,10.5
9.72,5.05,6,14.0
5.96,6.38,3,11.0
6.12,8.82,5,15.0
6.84,9.55,5,11.0
0.71,9.26,1,1.5
7.58,8.39,3,11.5
3.13,7.69,3,10.0
6.31,5.58,4,12.5
1.18,9.12,3,7.0
7.69,4.01,2,8.5
9.64,4.49,3,9.5
4.49,5.65,4,10.5
6.29,5.38,4,10.5
1.58,7.9,4,9.5
8.32,6.7,5,19.0
5.15,5.52,6,13.0
5.71,7.21,6,15.0
2.28,8.65,6,11.5
2.51,7.75,5,9.5
1.29,8.2,6,10.0
5.33,8.6,4,10.5
6.54,6.02,6,16.5
5.41,4.77,3,9.0
6.87,9.19,3,9.5
8.58,8.33,4,13.5
6.86,10.0,4,13.5
5.1,6.2,4,11.5
8.01,6.69,4,14.0
0.06,7.3,2,5.0
3.0,8.82,4,9.0
9.52,6.59,4,13.5
5.89,6.39,6,14.5
8.23,8.21,5,16.0
4.51,8.36,3,9.0
9.69,7.37,3,14.0
8.59,5.32,5,12.0
1.86,7.56,6,11.0
2.47,9.24,4,7.5
3.28,5.24,5,10.5
6.3,7.38,4,15.0
3.47,7.14,2,6.5
3.5,5.69,5,10.5
1.3,6.9,4,9.5
2.66,7.08,5,12.0
1.5,8.39,4,9.0
4.18,7.28,3,11.0
5.96,8.44,3,10.5
4.45,7.14,5,13.5
8.71,5.85,5,19.0
9.72,5.01,4,12.0
8.34,6.12,4,13.0
4.1,6.29,5,12.5
3.55,4.86,4,7.5
6.36,6.23,4,13.0
6.23,9.01,4,11.0
6.29,5.73,3,9.5
2.85,6.27,5,10.0
3.29,5.53,4,10.0
8.22,7.49,4,14.0
6.85,5.7,4,13.0
1.91,6.14,5,9.5
7.74,7.84,5,18.0
5.18,6.07,5,12.5
7.43,7.3,4,15.5
4.48,5.88,5,11.0
2.08,7.17,5,10.0
6.81,8.58,5,14.0
8.3,7.25,2,12.5
5.26,9.86,5,12.0
8.85,7.99,6,19.5
9.81,5.93,5,17.5
6.28,6.22,3,11.5
8.12,5.79,4,12.0
8.7,6.95,3,13.5
9.33,8.58,4,14.5
5.09,5.82,4,10.5
8.65,8.45,5,18.5
3.1,7.06,4,11.5
1.37,6.79,5,11.5
8.7,9.08,6,16.0
3.87,6.17,3,10.0
4.33,6.14,4,11.0
3.24,6.88,4,11.5
9.04,7.33,6,17.0
0.14,6.84,3,6.5
4.99,7.46,5,13.5
4.92,4.37,5,11.0
9.81,7.13,4,12.5
9.05,7.0,5,18.0
7.54,6.9,4,13.0
2.81,6.85,3,9.5
7.53,8.23,3,11.5
4.24,8.03,3,11.5
2.81,7.6,3,9.5
5.99,8.62,4,11.5
8.93,5.0,4,11.0
5.18,6.5,5,13.0
8.11,6.43,6,18.5
5.19,7.18,4,12.0
2.38,5.86,5,10.5
8.02,7.01,6,19.0
9.51,8.74,4,14.0
5.11,6.71,4,11.5
0.05,6.59,5,7.0
5.83,4.67,6,11.5
0.02,7.96,4,8.0
0.31,5.7,6,10.0
6.79,6.99,4,13.0
3.34,9.13,5,9.5
3.37,7.76,4,9.0
6.29,5.48,3,8.5
0.53,8.62,5,8.5
9.97,5.35,5,14.5
1.46,6.63,5,11.0
7.71,6.33,5,15.5
9.01,5.75,4,12.0
6.57,5.61,5,18.0
6.43,5.9,5,15.0
8.99,6.35,5,19.0
1.24,7.98,3,5.5
6.6,5.94,3,11.5
3.91,7.34,5,12.5
7.49,8.74,6,15.5
5.35,8.38,4,12.5
5.31,7.98,5,13.5
9.06,6.69,4,13.5
2.04,7.29,3,10.0
8.04,4.46,4,12.0
1.31,7.86,2,5.0
5.87,6.12,3,9.5
2.45,8.38,6,11.5
1.85,4.0,5,8.5
9.97,7.46,5,18.0
5.39,6.72,4,11.5
8.71,5.43,4,12.5
7.25,9.02,4,11.5
7.55,7.95,5,17.0
6.54,5.15,3,10.5
3.87,8.21,6,12.0
2.62,5.94,4,10.0
4.19,6.92,4,11.5
5.76,5.35,3,10.0
8.59,6.74,5,17.0
8.78,8.68,4,13.5
3.99,5.95,5,10.5
0.09,10.0,6,8.0
4.1,7.28,5,13.0
5.37,6.84,3,12.0
5.01,6.4,5,12.5
0.91,6.03,4,8.5
8.66,9.36,4,11.0
6.64,5.29,5,11.5
9.07,8.74,6,15.0
5.54,6.94,5,13.0
7.67,5.27,6,15.0
1.32,8.16,5,9.5
3.56,6.26,6,11.5
0.57,5.95,5,8.0
5.75,8.14,5,13.5
6.25,6.94,4,12.5
3.26,7.98,4,10.5
3.61,8.4,5,11.0
4.18,7.86,5,13.0
2.15,7.4,5,11.0
7.75,6.19,4,12.5
4.97,7.24,5,13.5
2.94,6.34,5,10.5
7.97,7.2,4,13.5
9.06,4.98,2,9.5
6.93,8.3,5,15.0
3.48,5.43,4,10.0
6.1,5.27,6,14.5
3.51,7.36,6,14.0
6.25,8.31,3,13.5
2.61,6.1,3,9.0
1.71,7.14,4,9.5
5.69,6.2,4,11.0
3.82,6.71,4,9.5
0.9,8.14,5,8.5
3.6,7.97,4,10.0
6.31,5.58,5,15.5
8.85,6.84,5,17.5
9.12,4.18,3,9.5
8.6,7.3,5,19.0
9.78,6.23,6,17.5
2.9,6.65,2,9.5
9.46,6.22,3,13.5
4.65,6.93,4,12.5
3.57,6.66,4,12.0
3.69,9.13,3,9.5
9.68,6.07,6,18.0
9.92,7.88,4,14.0
9.7,7.03,3,11.5
7.85,3.87,5,12.0
0.04,7.94,4,6.0
2.71,4.68,4,8.0
4.94,5.91,4,11.5
3.49,7.67,6,14.5
2.68,5.31,5,11.0
9.39,7.57,5,17.0
4.16,5.9,3,11.0
3.23,6.34,2,8.0
6.45,8.16,6,17.5
3.29,4.96,3,8.5
9.09,7.87,5,18.5
6.36,6.43,4,14.5
3.38,7.13,3,9.0
0.61,6.87,5,8.0
1.11,7.75,4,8.5
6.39,8.77,5,14.0
8.1,7.43,4,12.0
4.69,6.32,5,11.0
0.5,8.11,3,8.0
5.16,8.03,5,13.5
2.57,7.28,5,10.0
3.99,6.13,4,10.0
5.73,7.67,4,14.5
2.31,7.72,4,11.0
1.13,6.01,5,10.0
3.08,6.03,4,10.0
5.44,8.62,2,10.5
6.44,7.66,4,12.5
6.9,5.71,5,17.5
8.73,10.0,5,12.5
0.22,8.85,5,8.0
6.62,6.29,4,14.5
9.4,6.56,4,12.5
7.01,7.81,5,16.5
4.54,6.12,5,12.5
0.75,6.81,5,8.5
7.66,8.83,4,14.0
6.69,6.77,3,13.0
2.86,5.57,4,9.5
2.81,7.0,4,11.5
3.4,6.8,3,10.0
9.59,7.56,4,13.0
2.08,7.36,5,12.5
5.25,7.83,4,11.5
7.54,7.71,5,15.5
7.4,7.54,4,14.5
4.71,8.32,6,13.5
3.05,8.33,2,9.5
3.66,6.56,4,10.5
2.64,6.8,5,12.0
7.48,10.0,4,12.0
1.55,9.98,3,5.5
9.1,8.37,3,11.0
1.01,10.0,2,5.0
7.31,6.41,4,11.0
1.67,4.79,4,7.5
3.97,5.85,5,11.5
0.82,5.62,4,7.5
3.25,7.37,2,9.5
8.81,6.0,3,13.0
2.43,5.86,1,6.5
3.4,5.92,4,9.0
6.12,6.92,2,11.0
8.08,5.68,5,15.5
5.59,4.9,3,9.5
4.52,5.37,4,12.0
1.59,5.65,4,8.5
6.3,7.59,5,16.5
3.37,7.92,5,12.5
1.36,7.69,5,9.0
1.69,8.19,5,9.0
2.29,5.91,5,8.5
9.92,4.77,5,12.5
5.0,7.08,3,11.0
4.65,8.72,3,11.0
2.81,7.4,5,10.5
4.43,7.56,3,12.0
0.88,5.82,4,7.5
2.61,7.84,6,12.5
1.42,7.31,5,9.5
2.37,7.44,3,8.5
2.18,6.62,6,12.5
5.27,8.44,4,12.0
3.31,8.57,5,10.0
9.23,5.84,4,13.0
3.55,7.8,5,12.5
2.64,3.97,3,5.0
5.88,6.41,3,13.0
8.19,6.46,5,18.5
9.71,6.14,4,14.5
8.36,5.93,4,13.5
6.27,6.45,6,19.0
3.14,8.7,5,9.5
6.11,7.72,4,13.5
8.47,7.71,5,18.0
2.12,6.74,5,11.0
8.65,4.83,4,12.5
6.5,7.55,3,11.0
0.96,8.5,3,5.5
7.75,10.0,4,10.0
2.72,5.93,3,8.5
9.63,7.53,5,17.0
6.31,9.05,5,13.0
2.24,6.8,4,9.0
9.29,7.95,5,18.5
4.16,7.29,5,11.5
0.05,5.56,5,8.5
9.71,7.37,4,14.5
5.71,8.72,2,11.0
2.93,7.36,5,12.0
4.88,6.75,3,12.5
6.85,7.22,5,16.5
5.66,6.5,4,13.5
0.01,6.71,4,6.0
6.24,6.89,2,10.5
9.23,6.08,5,16.5
8.39,7.35,5,17.5
0.18,7.03,3,5.5
9.16,5.7,5,16.0
3.84,7.37,3,9.0
1.47,8.21,5,10.0
8.13,4.47,2,10.0
5.47,7.35,6,15.5
9.65,8.75,6,16.5
2.09,7.97,5,9.5
5.8,5.98,5,12.5
4.6,6.27,4,12.5
0.45,8.33,3,6.0
2.52,6.98,5,10.5
4.91,6.39,3,10.5
6.04,3.77,6,10.5
5.14,8.08,5,12.5
7.97,8.44,5,19.0
0.31,6.38,4,6.0
2.81,6.8,5,10.5
2.1,8.67,4,8.5
9.8,7.21,2,11.0
8.17,5.76,2,10.5
5.02,6.65,5,14.0
0.36,7.37,3,6.5
3.78,7.24,5,12.5
7.83,9.02,3,10.5
3.39,5.83,1,7.0
6.85,6.03,4,12.5
1.79,8.0,4,8.5
3.91,7.56,5,13.5
7.54,7.23,4,15.0
3.18,7.45,6,15.0
8.4,5.87,5,15.5
3.9,6.99,4,10.0
0.56,5.98,6,7.5
2.21,6.21,2,6.0
8.05,4.72,4,9.5
6.36,6.16,5,15.5
2.4,7.1,4,9.0
4.24,6.63,3,10.5
3.16,7.32,4,9.5
4.61,6.23,6,13.5
3.98,7.55,3,10.5
3.36,5.77,5,10.0
7.96,6.05,5,17.0
5.7,7.26,2,10.5
1.89,6.42,5,9.0
0.73,9.94,5,7.0
9.62,8.85,4,14.0
7.07,8.92,3,11.5
7.12,6.6,4,11.5
6.98,3.42,3,6.5
4.29,7.66,4,12.0
4.99,6.99,5,15.5
6.22,5.4,3,11.5
6.99,5.86,2,11.0
1.79,8.29,4,9.0
5.25,8.15,4,11.5
0.26,5.21,5,7.0
4.26,8.87,4,10.5
0.39,6.56,4,7.0
3.69,6.97,6,12.0
7.65,6.93,4,13.5
6.54,8.0,2,11.5
6.11,5.91,2,9.5
3.45,5.85,5,11.0
4.66,7.87,4,12.0
2.0,6.6,3,8.5
2.1,8.11,4,9.5
1.66,7.14,5,10.5
2.73,5.85,2,6.5
8.87,8.48,4,13.5
8.44,6.98,3,13.5
9.29,5.59,3,11.0
8.69,7.58,4,13.0
1.01,7.87,6,11.0
7.8,7.19,4,13.0
4.63,8.88,4,12.0
7.41,5.8,4,12.0
8.51,6.13,4,13.5
7.16,9.93,4,12.5
7.13,6.02,4,13.0
8.94,10.0,3,11.0
2.29,6.5,6,11.5
3.25,8.07,4,9.5
9.31,5.6,5,16.0
0.38,4.31,5,6.5
5.0,6.5,4,12.5
9.49,8.77,3,13.5
4.83,5.85,4,11.0
2.27,8.82,3,8.0
9.31,7.47,5,19.0
8.47,6.8,4,13.0
0.9,4.54,3,6.0
9.42,6.34,3,11.5
0.25,8.92,6,8.0
5.39,7.05,3,11.5
4.99,7.85,5,14.0
8.51,8.55,4,14.5
8.41,7.85,4,15.0
6.49,6.46,4,13.5
4.86,7.41,3,11.0
2.38,7.32,5,12.5
3.67,8.53,5,11.5
2.71,7.85,6,12.0
5.64,7.51,4,13.0
4.3,4.36,5,9.0
3.78,6.15,5,11.5
5.07,9.11,6,14.0
1.69,6.51,5,9.5
6.81,5.44,5,14.0
5.57,8.34,2,11.0
5.99,7.07,4,13.5
3.6,6.11,4,11.5
3.21,7.14,2,9.5
5.38,6.29,3,10.0
6.59,9.89,2,9.0
9.64,9.0,4,12.5
7.24,5.84,4,14.0
1.6,7.67,3,7.0
3.72,7.07,4,11.5
5.29,8.99,5,14.5
1.01,7.06,3,7.0
0.07,6.49,5,7.0
1.76,6.31,3,9.0
4.84,8.06,4,11.0
4.91,9.02,6,14.5
5.06,6.85,4,11.0
1.31,5.52,4,9.0
7.29,6.93,6,18.0
5.85,5.65,4,11.5
2.0,5.18,6,9.5
7.09,6.03,2,9.0
8.07,9.35,5,13.0
8.64,6.72,4,14.0
9.0,4.95,2,9.5
7.09,7.59,3,11.0
7.94,8.66,5,14.5
0.46,5.46,4,6.0
7.36,6.83,4,12.5
4.49,6.31,4,12.0
1.66,7.76,4,10.0
4.32,2.6,4,5.5
5.34,8.97,3,10.0
6.6,5.61,5,16.5
1.79,9.63,6,10.5
0.18,5.63,4,7.0
7.31,7.24,5,17.5
9.81,6.97,6,17.5
4.84,7.56,4,11.0
6.92,6.83,5,17.5
5.97,5.87,4,12.0
3.03,8.95,3,9.5
6.31,6.34,4,13.0
6.82,6.93,5,17.0
8.64,6.67,4,13.5
6.93,6.77,4,13.5
4.2,7.58,3,12.0
7.3,6.97,4,13.5
0.16,6.7,4,9.0
3.86,8.91,3,10.0
0.12,8.19,5,7.5
0.81,4.87,2,3.5
3.51,8.31,4,8.5
5.73,6.94,4,12.0
7.9,7.79,5,17.5
7.28,6.63,5,18.5
3.3,7.26,5,12.0
0.99,6.82,5,8.0
3.51,6.84,4,10.5
3.47,5.78,3,9.0
